full_name,resale_price,registered_year,engine_capacity,insurance,transmission_type,kms_driven,owner_type,fuel_type,max_power,seats,mileage,body_type,city,insurance_value,transmission_type_value,fuel_type_value,body_type_value,owner_type_Value
i Baleno 1.2 Alpha,545000.0,2017,1197,Third Party,Manual,40000,First Owner,Petrol,83.1,5.0,21.4,Hatchback,Agra,2,1,1,1,1
Hexa XTA,1000000.0,2018,2179,Third Party,Automatic,70000,First Owner,Diesel,153.86,7.0,17.6,MUV,Agra,2,2,2,4,1
i Swift Dzire VXI,450000.0,2015,1197,Third Party,Manual,70000,Second Owner,Petrol,83.14,5.0,20.85,Sedan,Agra,2,1,1,2,2
ai i10 Magna 1.1,160000.0,2009,1086,Third Party,Manual,80000,First Owner,Petrol,68.05,5.0,19.81,Hatchback,Agra,2,1,1,1,1
ai i20 Active 1.2,470000.0,2015,1197,Third Party,Manual,70000,First Owner,Petrol,81.86,5.0,17.19,Hatchback,Agra,2,1,1,1,1
Tiago 1.05 Revotorq XZ,360000.0,2017,1047,Third Party,Manual,120000,First Owner,Diesel,69.0,5.0,27.28,Hatchback,Agra,2,1,2,1,1
ai i10 Magna 1.1,200000.0,2010,1086,Third Party,Manual,60000,Second Owner,Petrol,68.05,5.0,19.81,Hatchback,Agra,2,1,1,1,2
i Eeco 7 Seater Standard BSIV,370000.0,2016,1196,Third Party,Manual,20000,First Owner,Petrol,73.0,7.0,15.37,Minivans,Agra,2,1,1,5,1
 Amaze E i-Vtech,330000.0,2014,1198,Third Party,Manual,70000,First Owner,Petrol,86.7,5.0,18.0,Sedan,Agra,2,1,1,2,1
ai Xcent 1.2 VTVT SX,475000.0,2018,1197,Third Party,Manual,60000,Second Owner,Petrol,81.86,5.0,20.14,Sedan,Agra,2,1,1,2,2
i Ciaz Sigma BSIV,686000.0,2020,1462,Third Party,Manual,50000,Third Owner,Petrol,103.25,5.0,21.56,Sedan,Agra,2,1,1,2,3
ai Venue SX Opt Executive Diesel,1250000.0,2021,1493,Third Party,Manual,60000,First Owner,Diesel,98.6,5.0,23.7,SUV,Agra,2,1,2,3,1
ai Venue SX Dual Tone Diesel BSIV,1100000.0,2021,1396,Third Party,Manual,60000,First Owner,Diesel,89.0,5.0,23.7,SUV,Agra,2,1,2,3,1
i Alto K10 VXI AGS Optional,395000.0,2019,998,Third Party,Automatic,20000,First Owner,Petrol,67.1,5.0,23.95,Hatchback,Agra,2,2,1,1,1
i Wagon R LXI CNG,350000.0,2016,998,Third Party,Manual,40000,First Owner,CNG,58.16,5.0,26.6,Hatchback,Agra,2,1,3,1,1
a Etios VX,289000.0,2011,1496,Third Party,Manual,50000,Second Owner,Petrol,88.7,5.0,17.6,Sedan,Agra,2,1,1,2,2
a Corolla Altis Diesel D4DGL,282000.0,2011,1364,Third Party,Manual,150000,First Owner,Diesel,87.2,5.0,21.43,Sedan,Agra,2,1,2,2,1
onet HTX Plus Turbo iMT BSVI,1000000.0,2021,998,Third Party,Manual,10000,First Owner,Petrol,118.36,5.0,18.2,SUV,Agra,2,1,1,3,1
i Ciaz Alpha BSVI,785000.0,2020,1462,Third Party,Manual,30000,Second Owner,Petrol,103.25,5.0,20.65,Sedan,Agra,2,1,1,2,2
Ecosport 1.5 DV5 MT Ambiente,300000.0,2014,1498,Third Party,Manual,150000,Third Owner,Diesel,89.84,5.0,22.7,SUV,Agra,2,1,2,3,3
bishi Outlander 2.4,397000.0,2011,2360,Third Party,Automatic,80000,Second Owner,Petrol,167.62,5.0,11.3,SUV,Agra,2,2,1,3,2
i Swift Dzire VDI,375000.0,2015,1248,Third Party,Manual,20000,First Owner,Diesel,74.0,5.0,26.59,Sedan,Agra,2,1,2,2,1
i Alto K10 LXI,100000.0,2011,998,Third Party,Manual,120000,Third Owner,Petrol,67.1,5.0,20.92,Hatchback,Agra,2,1,1,1,3
i Baleno Zeta,675000.0,2021,1197,Third Party,Manual,40000,First Owner,Petrol,81.8,5.0,21.01,Hatchback,Agra,2,1,1,1,1
ai Xcent 1.2 VTVT SX,465000.00000000006,2018,1197,Third Party,Manual,60000,Second Owner,Petrol,81.86,5.0,20.14,Sedan,Agra,2,1,1,2,2
i Swift Dzire VXI,480000.0,2015,1197,Third Party,Manual,80000,Second Owner,Petrol,83.14,5.0,20.85,Sedan,Agra,2,1,1,2,2
i Alto 800 LXI,225000.0,2014,796,Third Party,Manual,100000,First Owner,Petrol,47.3,5.0,22.74,Hatchback,Agra,2,1,1,1,1
i Wagon R VXI Optional,320000.0,2016,998,Third Party,Manual,70000,Second Owner,Petrol,67.04,5.0,20.51,Hatchback,Agra,2,1,1,1,2
ai Grand i10 Sportz,415000.00000000006,2015,1197,Third Party,Manual,30000,First Owner,Petrol,82.0,5.0,18.9,Hatchback,Agra,2,1,1,1,1
i Swift VDI,240000.0,2012,1248,Third Party,Manual,120000,Third Owner,Diesel,74.0,5.0,22.9,Hatchback,Agra,2,1,2,1,3
dra XUV500 W6 2WD,350000.0,2013,2179,Third Party,Manual,100000,Third Owner,Diesel,140.0,7.0,15.1,SUV,Agra,2,1,2,3,3
New Safari DICOR 2.2 EX 4x2,296000.0,2013,2179,Third Party,Manual,90000,Second Owner,Diesel,138.1,7.0,11.57,SUV,Agra,2,1,2,3,2
Tiago 1.2 Revotron XE,316000.0,2018,1199,Third Party,Manual,100000,First Owner,Petrol,84.0,5.0,23.84,Hatchback,Agra,2,1,1,1,1
i Vitara Brezza ZDi Plus Dual Tone,750000.0,2017,1248,Third Party,Manual,100000,Second Owner,Diesel,88.5,5.0,24.3,SUV,Agra,2,1,2,3,2
i Ertiga VDI,900000.0,2019,1248,Third Party,Manual,120000,First Owner,Diesel,88.5,7.0,25.47,MUV,Agra,2,1,2,4,1
i Celerio VXI BSVI,560000.0,2022,998,Third Party,Manual,10000,First Owner,Petrol,65.71,5.0,25.24,Hatchback,Agra,2,1,1,1,1
i Vitara Brezza ZDi Plus,800000.0,2017,1248,Third Party,Manual,150000,First Owner,Diesel,88.5,5.0,24.3,SUV,Agra,2,1,2,3,1
ai Creta 1.4 E Plus,900000.0,2017,1396,Third Party,Manual,120000,Second Owner,Diesel,88.7,5.0,22.1,SUV,Agra,2,1,2,3,2
i Alto 800 LXI,280000.0,2019,796,Third Party,Manual,80000,First Owner,Petrol,47.33,5.0,22.05,Hatchback,Agra,2,1,1,1,1
a Innova 2.5 E Diesel MS 7-seater,550000.0,2013,2494,Third Party,Manual,90000,Second Owner,Diesel,100.6,7.0,11.4,unknown_type,Agra,2,1,2,6,2
a Innova 2.5 G (Diesel) 7 Seater BS III,250000.0,2009,2494,Third Party,Manual,150000,First Owner,Diesel,102.0,8.0,12.8,MUV,Agra,2,1,2,4,1
Manza Aqua Quadrajet,150000.0,2011,1248,Third Party,Manual,150000,First Owner,Diesel,88.74,5.0,18.8,Sedan,Agra,2,1,2,2,1
ai Grand i10 1.2 CRDi Sportz Option,480000.0,2017,1186,Third Party,Manual,20000,First Owner,Diesel,73.97,5.0,24.0,Hatchback,Agra,2,1,2,1,1
i Eeco CNG 5 Seater AC BSIV,300000.0,2017,1196,Third Party,Manual,150000,First Owner,CNG,61.7,5.0,29.253333333333334,Minivans,Agra,2,1,3,5,1
A4 2.0 TDI,1200000.0,2014,1968,Third Party,Automatic,30000,Second Owner,Diesel,147.51,5.0,16.55,Sedan,Agra,2,2,2,2,2
ai i20 Sportz BSVI,800000.0,2022,1197,Third Party,Manual,10000,First Owner,Petrol,81.8,5.0,21.0,Hatchback,Agra,2,1,1,1,1
wagen Polo Diesel Trendline 1.2L,200000.0,2012,1199,Third Party,Manual,80000,Fifth Owner,Diesel,73.9,5.0,22.07,Hatchback,Agra,2,1,2,1,5
i Vitara Brezza VDi,740000.0,2019,1248,Third Party,Manual,80000,Second Owner,Diesel,88.5,5.0,24.3,SUV,Agra,2,1,2,3,2
ai Santro Xing GLS,150000.0,2009,1086,Third Party,Manual,30000,First Owner,Petrol,62.1,5.0,17.92,Hatchback,Agra,2,1,1,1,1
i Swift Dzire VDI,520000.0,2016,1248,Third Party,Manual,30000,First Owner,Diesel,74.0,5.0,26.59,Sedan,Agra,2,1,2,2,1
ai i10 Sportz 1.2,170000.0,2010,1197,Third Party,Manual,80000,Third Owner,Petrol,78.9,5.0,20.36,Hatchback,Agra,2,1,1,1,3
ai Venue S BSIV,710000.0,2021,1197,Third Party,Manual,30000,First Owner,Petrol,81.86,5.0,17.52,SUV,Agra,2,1,1,3,1
 Rapid 1.0 TSI Onyx,950000.0,2021,999,Third Party,Manual,20000,First Owner,Petrol,108.62,5.0,18.97,Sedan,Agra,2,1,1,2,1
Figo Diesel ZXI,240000.0,2013,1399,Third Party,Manual,70000,First Owner,Diesel,68.05,5.0,20.0,Hatchback,Agra,2,1,2,1,1
 Rapid 1.0 TSI Onyx,930000.0000000001,2021,999,Third Party,Manual,20000,First Owner,Petrol,108.62,5.0,18.97,Sedan,Agra,2,1,1,2,1
ctor Plus Select Diesel MT 7 STR,1922000.0,2022,1956,Third Party,Manual,20000,First Owner,Diesel,167.67,7.0,16.56,SUV,Agra,2,1,2,3,1
ai EON D Lite,150000.0,2013,814,Third Party,Manual,50000,Second Owner,Petrol,55.2,5.0,21.1,Hatchback,Agra,2,1,1,1,2
ai Grand i10 Magna,380000.0,2015,1197,Third Party,Manual,30000,First Owner,Petrol,82.0,5.0,18.9,Hatchback,Agra,2,1,1,1,1
Punch Adventure BSVI,590000.0,2021,1199,Third Party,Manual,30000,First Owner,Petrol,86.63,5.0,20.09,SUV,Agra,2,1,1,3,1
wagen Polo 1.5 TDI Comfortline,400000.0,2016,1498,Third Party,Manual,150000,First Owner,Diesel,88.0,5.0,20.14,Hatchback,Agra,2,1,2,1,1
a Etios Liva GD,300000.0,2013,1364,Third Party,Manual,40000,First Owner,Diesel,67.06,5.0,23.59,Hatchback,Agra,2,1,2,1,1
lt Duster 85PS Diesel RxE,500000.0,2017,1461,Third Party,Manual,120000,First Owner,Diesel,83.8,5.0,19.87,SUV,Agra,2,1,2,3,1
i Alto 800 LXI,210000.0,2015,796,Third Party,Manual,20000,First Owner,Petrol,47.3,5.0,22.74,Hatchback,Agra,2,1,1,1,1
i Wagon R LX Minor,100000.0,2009,998,Third Party,Manual,90000,Second Owner,Petrol,67.1,5.0,18.9,Hatchback,Agra,2,1,1,1,2
dra XUV500 W10 2WD,900000.0,2015,2179,Third Party,Manual,50000,First Owner,Diesel,140.0,7.0,16.0,SUV,Agra,2,1,2,3,1
eltos HTX Diesel,1349000.0,2020,1493,Third Party,Manual,70000,First Owner,Diesel,113.43,5.0,20.8,SUV,Agra,2,1,2,3,1
i Swift Dzire VDI,650000.0,2019,1248,Third Party,Manual,50000,First Owner,Diesel,74.02,5.0,28.4,Sedan,Agra,2,1,2,2,1
i Wagon R LXI,475000.0,2019,998,Third Party,Manual,20000,First Owner,Petrol,67.05,5.0,21.79,Hatchback,Agra,2,1,1,1,1
n Terrano XE 85 PS,320000.0,2014,1461,Third Party,Manual,90000,Second Owner,Diesel,83.8,5.0,20.45,SUV,Agra,2,1,2,3,2
ai Grand i10 Sportz,370000.0,2015,1197,Third Party,Manual,60000,Second Owner,Petrol,82.0,5.0,18.9,Hatchback,Agra,2,1,1,1,2
i Wagon R LXI Minor,110000.00000000001,2009,1061,Third Party,Manual,90000,Second Owner,Petrol,67.0,5.0,18.9,Hatchback,Agra,2,1,1,1,2
olet Spark 1.0 LT Option Pack,50000.0,2009,995,Third Party,Manual,60000,Second Owner,Petrol,62.118,5.0,16.0,Hatchback,Agra,2,1,1,1,2
Figo Titanium Diesel,550000.0,2020,1499,Third Party,Manual,60000,Second Owner,Diesel,98.96,5.0,24.4,Hatchback,Agra,2,1,2,1,2
 Jazz 1.5 E i DTEC,390000.0,2015,1498,Third Party,Manual,90000,Second Owner,Diesel,98.6,5.0,27.3,Hatchback,Agra,2,1,2,1,2
ai i10 Magna 1.1L,250000.0,2017,1086,Third Party,Manual,20000,Second Owner,Petrol,68.05,5.0,19.81,Hatchback,Agra,2,1,1,1,2
i Alto 800 VXI,200000.0,2013,796,Third Party,Manual,80000,First Owner,Petrol,47.3,5.0,22.74,Hatchback,Agra,2,1,1,1,1
i Swift Dzire VXI BSVI,725000.0,2022,1197,Third Party,Manual,10000,First Owner,Petrol,88.5,5.0,22.41,Sedan,Agra,2,1,1,2,1
 Jazz 1.5 V i DTEC,450000.0,2017,1498,Third Party,Manual,110000,First Owner,Diesel,98.6,5.0,27.3,Hatchback,Agra,2,1,2,1,1
 City i-DTEC ZX,750000.0,2017,1498,Third Party,Manual,120000,First Owner,Diesel,97.9,5.0,25.6,Sedan,Agra,2,1,2,2,1
i Alto 800 VXI,206000.0,2013,796,Third Party,Manual,80000,First Owner,Petrol,47.3,5.0,22.74,Hatchback,Agra,2,1,1,1,1
dra XUV500 W8 2WD,550000.0,2015,2179,Third Party,Manual,120000,First Owner,Diesel,140.0,7.0,16.0,SUV,Agra,2,1,2,3,1
i Wagon R LXI CNG,250000.0,2012,998,Third Party,Manual,150000,First Owner,CNG,58.2,5.0,26.2,Hatchback,Agra,2,1,3,1,1
i Alto 800 VXI,210000.0,2013,796,Third Party,Manual,80000,First Owner,Petrol,47.3,5.0,22.74,Hatchback,Agra,2,1,1,1,1
lt KWID RXL,185000.0,2016,799,Third Party,Manual,60000,Second Owner,Petrol,53.3,5.0,25.17,Hatchback,Agra,2,1,1,1,2
ai Grand i10 Sportz,300000.0,2014,1197,Third Party,Manual,70000,Third Owner,Petrol,82.0,5.0,18.9,Hatchback,Agra,2,1,1,1,3
olet Spark 1.0 LT,50000.0,2009,995,Third Party,Manual,60000,Third Owner,Petrol,62.0,5.0,18.0,Hatchback,Agra,2,1,1,1,3
olet Spark 1.0 LT,50000.0,2009,995,Third Party,Manual,60000,Second Owner,Petrol,62.0,5.0,18.0,Hatchback,Agra,2,1,1,1,2
ai Grand i10 CRDi Sportz,250000.0,2013,1120,Third Party,Manual,100000,Second Owner,Diesel,70.0,5.0,24.0,Hatchback,Agra,2,1,2,1,2
i SX4 ZXI MT BSIV,190000.0,2012,1586,Third Party,Manual,120000,Second Owner,Petrol,103.3,5.0,15.5,Sedan,Agra,2,1,1,2,2
i Swift Dzire VXI 1.2,650000.0,2019,1197,Third Party,Manual,40000,First Owner,Petrol,81.8,5.0,21.21,Sedan,Agra,2,1,1,2,1
dra Scorpio VLX SE BSIV,500000.0,2013,2179,Third Party,Manual,80000,First Owner,Diesel,120.0,8.0,15.4,SUV,Agra,2,1,2,3,1
 Amaze E i-Dtech,190000.0,2013,1498,Third Party,Manual,120000,First Owner,Diesel,98.6,5.0,25.8,Sedan,Agra,2,1,2,2,1
i Baleno 1.2 Zeta,570000.0,2019,1197,Third Party,Manual,80000,Second Owner,Petrol,83.1,5.0,21.4,Hatchback,Agra,2,1,1,1,2
i Swift Dzire ZDI,350000.0,2014,1248,Third Party,Manual,80000,Second Owner,Diesel,74.0,5.0,23.4,Sedan,Agra,2,1,2,2,2
 City i DTEC S,380000.0,2014,1498,Third Party,Manual,120000,Fourth Owner,Diesel,98.6,5.0,26.0,Sedan,Agra,2,1,2,2,4
i Vitara Brezza VDi,780000.0,2019,1248,Third Party,Manual,100000,First Owner,Diesel,88.5,5.0,24.3,SUV,Agra,2,1,2,3,1
lt KWID STD,240000.0,2018,799,Third Party,Manual,20000,First Owner,Petrol,53.3,5.0,25.17,Hatchback,Agra,2,1,1,1,1
Nexon XM BSVI,840000.0,2021,1199,Third Party,Manual,10000,First Owner,Petrol,118.35,5.0,17.33,SUV,Agra,2,1,1,3,1
Ecosport 1.5 DV5 MT Trend,250000.0,2013,1498,Third Party,Manual,100000,Second Owner,Diesel,89.84,5.0,22.7,SUV,Agra,2,1,2,3,2
i Swift VDI BSIV,400000.0,2014,1248,Third Party,Manual,100000,Second Owner,Diesel,74.0,5.0,25.2,Hatchback,Agra,2,1,2,1,2
i Wagon R LXI Minor,150000.0,2009,1061,Third Party,Manual,80000,First Owner,Petrol,67.0,5.0,18.9,Hatchback,Agra,2,1,1,1,1
Indica Aqua 1.3 Quadrajet,100000.0,2009,1248,Third Party,Manual,70000,Second Owner,Diesel,73.95,5.0,18.0,Hatchback,Agra,2,1,2,1,2
dra XUV500 W7,1275000.0,2020,2179,Third Party,Manual,50000,First Owner,Diesel,152.87,7.0,15.1,SUV,Agra,2,1,2,3,1
n GO Plus T BSIV,270000.0,2015,1198,Third Party,Manual,30000,Second Owner,Petrol,67.0,7.0,19.44,MUV,Agra,2,1,1,4,2
olet Beat Diesel,220000.00000000003,2012,936,Third Party,Manual,70000,Second Owner,Diesel,57.6,5.0,25.44,Hatchback,Agra,2,1,2,1,2
Aspire 1.5 TDCi Titanium,600000.0,2017,1498,Third Party,Manual,50000,First Owner,Diesel,99.0,5.0,25.83,Sedan,Agra,2,1,2,2,1
dra XUV500 W4,900000.0,2016,2179,Third Party,Manual,50000,First Owner,Diesel,140.0,7.0,16.0,SUV,Agra,2,1,2,3,1
i Wagon R ZXI 1.2,495000.0,2019,1197,Third Party,Manual,20000,First Owner,Petrol,81.8,5.0,20.52,Hatchback,Agra,2,1,1,1,1
dra XUV300 W8 Option AMT BSVI,980000.0000000001,2022,1197,Third Party,Automatic,60000,First Owner,Petrol,108.62,5.0,16.5,SUV,Agra,2,2,1,3,1
eltos GTX DCT,1375000.0,2019,1353,Third Party,Automatic,20000,First Owner,Petrol,138.0,5.0,16.2,SUV,Agra,2,2,1,3,1
i Wagon R VXI BS IV,340000.0,2015,998,Third Party,Manual,40000,First Owner,Petrol,67.04,5.0,20.51,Hatchback,Agra,2,1,1,1,1
ctor Sharp DCT,1300000.0,2020,1451,Third Party,Automatic,40000,Second Owner,Petrol,141.0,5.0,13.96,SUV,Agra,2,2,1,3,2
Nexon 1.2 Revotron XT,600000.0,2019,1198,Third Party,Manual,70000,First Owner,Petrol,108.5,5.0,17.0,SUV,Agra,2,1,1,3,1
 Brio V MT,300000.0,2012,1198,Third Party,Manual,60000,First Owner,Petrol,86.8,5.0,19.4,Hatchback,Agra,2,1,1,1,1
lt Fluence Diesel E4,500000.0,2013,1461,Third Party,Manual,150000,Second Owner,Diesel,79.10750507099391,5.0,21.8,Sedan,Agra,2,1,2,2,2
a Yaris G Optional,1099000.0,2020,1496,Third Party,Manual,40000,First Owner,Petrol,105.94,5.0,17.1,Sedan,Agra,2,1,1,2,1
 City 1.5 V MT,350000.0,2011,1497,Third Party,Manual,90000,Second Owner,Petrol,116.348,5.0,17.0,Sedan,Agra,2,1,1,2,2
lt Triber RXL BSIV,434999.99999999994,2019,999,Third Party,Manual,20000,First Owner,Petrol,72.0,7.0,20.0,MUV,Agra,2,1,1,4,1
i Wagon R LXI BS IV,186000.0,2012,998,Third Party,Manual,100000,Second Owner,Petrol,67.1,5.0,18.9,Hatchback,Agra,2,1,1,1,2
i Eeco CNG 5 Seater AC,625000.0,2022,1196,Third Party,Manual,20000,First Owner,CNG,61.68,5.0,27.84,Minivans,Agra,2,1,3,5,1
lt Duster 110PS Diesel RxZ,450000.0,2012,1461,Third Party,Manual,120000,Second Owner,Diesel,108.45,5.0,19.01,SUV,Agra,2,1,2,3,2
ai i20 1.4 Asta,650000.0,2017,1396,Third Party,Manual,80000,First Owner,Diesel,88.73,5.0,22.54,Hatchback,Agra,2,1,2,1,1
i Wagon R LXI CNG,350000.0,2018,998,Third Party,Manual,150000,First Owner,CNG,58.16,5.0,26.6,Hatchback,Agra,2,1,3,1,1
ai i10 Magna 1.2,130000.0,2009,1197,Third Party,Manual,50000,First Owner,Petrol,78.9,5.0,20.36,Hatchback,Agra,2,1,1,1,1
i Swift VDI BSIV,500000.0,2017,1248,Third Party,Manual,70000,First Owner,Diesel,74.0,5.0,25.2,Hatchback,Agra,2,1,2,1,1
dra Bolero B6 Opt BSVI,950000.0,2021,1493,Third Party,Manual,10000,First Owner,Diesel,74.96,7.0,16.0,SUV,Agra,2,1,2,3,1
ai Creta 1.6 CRDi SX,700000.0,2017,1582,Third Party,Manual,120000,Third Owner,Diesel,126.2,5.0,19.67,SUV,Agra,2,1,2,3,3
Fiesta 1.4 ZXi TDCi ABS,140000.0,2009,1399,Third Party,Manual,120000,Third Owner,Diesel,68.0,5.0,17.8,Sedan,Agra,2,1,2,2,3
New Safari DICOR 2.2 LX 4x2,200000.0,2010,2179,Third Party,Manual,120000,First Owner,Diesel,138.1,7.0,11.57,SUV,Agra,2,1,2,3,1
lt KWID Climber 1.0 AMT,320000.0,2018,999,Third Party,Automatic,20000,First Owner,Petrol,67.0,5.0,24.04,Hatchback,Agra,2,2,1,1,1
ai i10 Magna,200000.0,2011,1197,Third Party,Manual,40000,First Owner,Petrol,78.9,5.0,20.36,Hatchback,Agra,2,1,1,1,1
ai i20 Magna 1.2,409999.99999999994,2015,1197,Third Party,Manual,90000,Second Owner,Petrol,81.83,5.0,18.6,Hatchback,Agra,2,1,1,1,2
i Swift VXI,440000.00000000006,2016,1197,Third Party,Manual,30000,Second Owner,Petrol,81.8,5.0,21.21,Hatchback,Agra,2,1,1,1,2
Compass Model S DCT BSVI,2500000.0,2022,1368,Third Party,Automatic,20000,First Owner,Petrol,160.77,5.0,14.1,SUV,Agra,2,2,1,3,1
a Glanza G,630000.0,2020,1197,Third Party,Manual,30000,First Owner,Petrol,81.8,5.0,21.01,Hatchback,Agra,2,1,1,1,1
i Eeco 7 Seater Standard BSIV,350000.0,2018,1196,Third Party,Manual,100000,Second Owner,Petrol,73.0,7.0,15.37,Minivans,Agra,2,1,1,5,2
 Amaze S Diesel BSIV,400000.0,2016,1498,Third Party,Manual,150000,First Owner,Diesel,98.63,5.0,27.4,Sedan,Agra,2,1,2,2,1
olet Beat LT,150000.0,2011,1199,Third Party,Manual,90000,First Owner,Petrol,79.4,5.0,18.6,Hatchback,Agra,2,1,1,1,1
 Amaze E Diesel BSIV,425000.0,2016,1498,Third Party,Manual,150000,First Owner,Diesel,98.63,5.0,27.4,Sedan,Agra,2,1,2,2,1
i Swift Dzire VDI,425000.0,2016,1248,Third Party,Manual,80000,Second Owner,Diesel,74.0,5.0,26.59,Sedan,Agra,2,1,2,2,2
i Swift Dzire VXI,400000.0,2017,1197,Third Party,Manual,70000,Second Owner,Petrol,83.14,5.0,20.85,Sedan,Agra,2,1,1,2,2
i Swift VXI,459999.99999999994,2016,1197,Third Party,Manual,30000,Second Owner,Petrol,81.8,5.0,21.21,Hatchback,Agra,2,1,1,1,2
dra KUV 100 mFALCON D75 K8,330000.0,2017,1198,Third Party,Manual,70000,First Owner,Diesel,77.0,6.0,25.32,SUV,Agra,2,1,2,3,1
n Magnite XE BSVI,470000.0,2021,999,Third Party,Manual,30000,First Owner,Petrol,71.02,5.0,18.75,SUV,Agra,2,1,1,3,1
ai Creta 1.6 SX Automatic Diesel,1150000.0,2018,1582,Third Party,Automatic,70000,Second Owner,Diesel,126.2,5.0,17.6,SUV,Agra,2,2,2,3,2
i Ciaz Delta BSVI,725000.0,2020,1462,Third Party,Manual,60000,Second Owner,Petrol,103.25,5.0,20.65,Sedan,Agra,2,1,1,2,2
ai i20 Active 1.4 SX,400000.0,2015,1396,Third Party,Manual,80000,Third Owner,Diesel,88.73,5.0,21.19,Hatchback,Agra,2,1,2,1,3
ai Grand i10 CRDi Asta,250000.0,2013,1120,Third Party,Manual,150000,First Owner,Diesel,70.0,5.0,24.0,Hatchback,Agra,2,1,2,1,1
tor Sharp BSVI,1450000.0,2022,1498,Third Party,Manual,40000,First Owner,Petrol,108.49,5.0,15.43,SUV,Agra,2,1,1,3,1
ai i20 Sportz 1.2,690000.0,2020,1197,Third Party,Manual,40000,First Owner,Petrol,81.83,5.0,18.6,Hatchback,Agra,2,1,1,1,1
ai i20 Asta 1.2,350000.0,2015,1197,Third Party,Manual,120000,Fourth Owner,Petrol,81.83,5.0,18.6,Hatchback,Agra,2,1,1,1,4
i Ertiga ZDI,425000.0,2013,1248,Third Party,Manual,80000,Third Owner,Diesel,88.8,7.0,20.77,MUV,Agra,2,1,2,4,3
Q3 2.0 TDI Quattro Premium Plus,1100000.0,2014,1968,Third Party,Automatic,80000,Second Owner,Diesel,174.33,5.0,15.73,SUV,Agra,2,2,2,3,2
Punch Pure Rhythm BSVI,600000.0,2022,1199,Third Party,Manual,10000,First Owner,Petrol,86.63,5.0,20.09,SUV,Agra,2,1,1,3,1
ai i20 Magna,150000.0,2009,1197,Third Party,Manual,150000,Third Owner,Petrol,78.88,5.0,18.5,Hatchback,Agra,2,1,1,1,3
 CR-V 2.4 4WD AT,170000.0,2004,2354,Third Party,Automatic,150000,Second Owner,Petrol,149.87199999999999,5.0,10.1,SUV,Agra,2,2,1,3,2
i Wagon R LXI CNG,160000.0,2011,998,Third Party,Manual,70000,Fourth Owner,CNG,58.2,5.0,26.2,Hatchback,Agra,2,1,3,1,4
ai i20 Magna,140000.0,2009,1197,Third Party,Manual,150000,Second Owner,Petrol,78.88,5.0,18.5,Hatchback,Agra,2,1,1,1,2
 Fabia 1.2 TDI Active Plus,140000.0,2011,1199,Third Party,Manual,90000,Third Owner,Diesel,75.0,5.0,20.86,Hatchback,Agra,2,1,2,1,3
dra Thar LX 4-Str Hard Top Diesel BSVI,1500000.0,2021,2184,Third Party,Manual,50000,Second Owner,Diesel,130.0,4.0,15.2,SUV,Agra,2,1,2,3,2
i Wagon R VXI BS IV,225000.0,2011,998,Third Party,Manual,60000,First Owner,Petrol,67.1,5.0,18.9,Hatchback,Agra,2,1,1,1,1
ai i20 Petrol Magna,550000.0,2019,1197,Third Party,Manual,40000,Second Owner,Petrol,81.86,5.0,18.6,Hatchback,Agra,2,1,1,1,2
i A-Star Vxi,140000.0,2009,998,Third Party,Manual,60000,First Owner,Petrol,66.1,5.0,19.0,Hatchback,Agra,2,1,1,1,1
i Wagon R LXI CNG,400000.0,2017,998,Third Party,Manual,20000,First Owner,CNG,58.16,5.0,26.6,Hatchback,Agra,2,1,3,1,1
ai Verna CRDi 1.6 SX Option,900000.0,2018,1582,Third Party,Manual,90000,First Owner,Diesel,126.2,5.0,22.0,Sedan,Agra,2,1,2,2,1
 City 1.5 E MT,315000.0,2010,1497,Third Party,Manual,80000,First Owner,Petrol,116.348,5.0,17.0,Sedan,Agra,2,1,1,2,1
Ecosport 1.5 DV5 MT Trend,350000.0,2013,1498,Third Party,Manual,120000,First Owner,Diesel,89.84,5.0,22.7,SUV,Agra,2,1,2,3,1
ai EON D Lite Plus,140000.0,2013,814,Third Party,Manual,100000,Second Owner,Petrol,55.2,5.0,21.1,Hatchback,Agra,2,1,1,1,2
i Baleno Delta,700000.0,2021,1197,Third Party,Manual,30000,First Owner,Petrol,81.8,5.0,21.01,Hatchback,Agra,2,1,1,1,1
a Urban cruiser Premium AT,880000.0000000001,2020,1462,Third Party,Automatic,50000,First Owner,Petrol,103.26,5.0,18.76,SUV,Agra,2,2,1,3,1
 Series 320d,1000000.0,2010,1995,Third Party,Automatic,100000,Second Owner,Diesel,170.0,5.0,13.2,Sedan,Agra,2,2,2,2,2
i Swift VXI with ABS,215000.0,2010,1197,Third Party,Manual,120000,First Owner,Petrol,83.81,5.0,16.6,Hatchback,Agra,2,1,1,1,1
lt Duster 110PS Diesel RxZ,500000.0,2013,1461,Third Party,Manual,150000,First Owner,Diesel,108.45,5.0,19.01,SUV,Agra,2,1,2,3,1
olet Tavera 2 LS B4 7 Str BSIII,240000.0,2012,2499,Third Party,Manual,150000,Second Owner,Diesel,80.0,7.0,14.8,MUV,Agra,2,1,2,4,2
Zest Quadrajet 1.3 XM,320000.0,2016,1248,Third Party,Manual,90000,Third Owner,Diesel,88.7,5.0,23.0,Sedan,Agra,2,1,2,2,3
