full_name,resale_price,registered_year,engine_capacity,insurance,transmission_type,kms_driven,owner_type,fuel_type,max_power,seats,mileage,body_type,city,insurance_value,transmission_type_value,fuel_type_value,body_type_value,owner_type_Value
i Ritz VXi,235000.0,2010,1197,Third Party,Manual,100000,First Owner,Petrol,85.8,5.0,18.5,Hatchback,Delhi,2,1,1,1,1
dra Bolero Power Plus Plus AC BSIV PS,285000.0,2015,2523,Third Party,Manual,40000,Second Owner,Diesel,63.0,9.0,15.96,SUV,Delhi,2,1,2,3,2
ai Grand i10 1.2 Kappa Sportz Option,455000.0,2017,1197,Third Party,Manual,10000,First Owner,Petrol,81.86,5.0,18.9,Hatchback,Delhi,2,1,1,1,1
i Swift Dzire VXI BSVI,650000.0,2020,1197,Third Party,Manual,30000,First Owner,Petrol,88.5,5.0,22.41,Sedan,Delhi,2,1,1,2,1
i Baleno Delta,608000.0,2019,1197,Third Party,Manual,30281,First Owner,Petrol,81.8,5.0,21.01,Hatchback,Delhi,2,1,1,1,1
i Alto 800 VXI BSVI,358000.0,2020,796,Third Party,Manual,45514,First Owner,Petrol,47.33,5.0,22.05,Hatchback,Delhi,2,1,1,1,1
 City ZX CVT,1395000.0,2021,1498,Third Party,Automatic,9253,First Owner,Petrol,119.35,5.0,18.3,Sedan,Delhi,2,2,1,2,1
ai Venue S Diesel,788000.0,2020,1493,Third Party,Manual,40143,First Owner,Diesel,98.6,5.0,23.7,SUV,Delhi,2,1,2,3,1
i Wagon R LXI CNG,413999.99999999994,2018,998,Third Party,Manual,26077,First Owner,CNG,58.16,5.0,26.6,Hatchback,Delhi,2,1,3,1,1
Indigo LS,125000.0,2009,1405,Third Party,Manual,70000,First Owner,Diesel,70.0,5.0,17.0,Sedan,Delhi,2,1,2,2,1
i SX4 ZXI MT BSIV Leather,220000.00000000003,2010,1586,Third Party,Manual,120000,Second Owner,Petrol,103.3,5.0,15.5,Sedan,Gurgaon,2,1,1,2,2
i Alto LXi,90000.0,2009,796,Third Party,Manual,100000,Third Owner,Petrol,46.3,5.0,19.7,Hatchback,Gurgaon,2,1,1,1,3
ai Verna 1.6 SX CRDI (O) AT,220000.00000000003,2011,1582,Third Party,Automatic,70000,Fourth Owner,Diesel,126.32,5.0,22.32,Sedan,Delhi,2,2,2,2,4
 Brio E MT,321000.0,2016,1198,Third Party,Manual,59446,First Owner,Petrol,86.8,5.0,19.4,Hatchback,Delhi,2,1,1,1,1
i Ritz LXi,146000.0,2011,1197,Third Party,Manual,92922,Second Owner,Petrol,85.8,5.0,18.5,Hatchback,Delhi,2,1,1,1,2
ai i20 1.2 Asta,252000.0,2011,1197,Third Party,Manual,93775,First Owner,Petrol,78.88,5.0,17.0,Hatchback,Delhi,2,1,1,1,1
i Baleno 1.2 Delta,487000.0,2017,1197,Comprehensive,Manual,79544,First Owner,Petrol,83.1,5.0,21.4,Hatchback,Delhi,5,1,1,1,1
i Baleno 1.2 Delta,471000.0,2016,1197,Third Party,Manual,72945,Second Owner,Petrol,83.1,5.0,21.4,Hatchback,Delhi,2,1,1,1,2
Indigo GLS BSIII,60000.0,2008,1193,Third Party,Manual,80000,First Owner,Petrol,65.0,5.0,15.2,Sedan,Delhi,2,1,1,2,1
i Ritz VXi,229999.99999999997,2011,1197,Third Party,Manual,70000,First Owner,Petrol,85.8,5.0,18.5,Hatchback,Delhi,2,1,1,1,1
i Vitara Brezza ZDi,600000.0,2017,1248,Third Party,Manual,120000,First Owner,Diesel,88.5,5.0,24.3,SUV,Delhi,2,1,2,3,1
ai Santro Xing GL Plus,180000.0,2011,1086,Third Party,Manual,70000,Third Owner,Petrol,62.1,5.0,17.92,Hatchback,Delhi,2,1,1,1,3
